ขวดสารเคมีที่มีอยู่ในคลังฯ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รหัสขวด,ชื่อสารเคมี,CAS / Catalogue No.,เกรด,ขนาดบรรจุ,ปริมาณคงเหลือ,หน่วยบรรจุ,ชื่อผู้เพิ่มขวด,เวลาเพิ่มขวด,,,,,,,,,,,,,,,,,,,,,,,,สถานที่จัดเก็บ,woner
F01126A5800113,Plate Count agar,105463,"acc. ISO 4833, ISO 17410 and FDA-BAM GranuCult™",500,500,กรัม,นางสาวนิตยา สมพงษ์,6/8/2015 13:38,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800114,Plate Count agar,105463,"acc. ISO 4833, ISO 17410 and FDA-BAM GranuCult™",500,500,กรัม,นางสาวนิตยา สมพงษ์,6/8/2015 13:38,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800115,Plate Count agar,105463,"acc. ISO 4833, ISO 17410 and FDA-BAM GranuCult™",500,500,กรัม,นางสาวนิตยา สมพงษ์,6/8/2015 13:38,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800116,Plate Count agar,105463,"acc. ISO 4833, ISO 17410 and FDA-BAM GranuCult™",500,500,กรัม,นางสาวนิตยา สมพงษ์,6/8/2015 13:38,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800118,Potato dextrose agar,110130,for microbiology,500,500,กรัม,นางสาวนิตยา สมพงษ์,6/8/2015 13:38,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800119,Potato dextrose agar,110130,for microbiology,500,500,กรัม,นางสาวนิตยา สมพงษ์,6/8/2015 13:38,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800120,Proteose peptone,LP0085,analysis,500,500,กรัม,นางสาวนิตยา สมพงษ์,6/8/2015 13:38,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800122,Purple broth Base,222710,Basal medium to which carbohydrates are added to determine fermentation reactions,500,500,กรัม,นางสาวนิตยา สมพงษ์,6/8/2015 13:38,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800125,S.I.M. medium,CM0435,-,500,500,กรัม,นางสาวนิตยา สมพงษ์,6/8/2015 16:24,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800126,Sabouraud Dextrose agar,CM0041,-,500,500,กรัม,นางสาวนิตยา สมพงษ์,6/8/2015 16:24,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800127,Sabouraud Dextrose agar,CM0041,-,500,500,กรัม,นางสาวนิตยา สมพงษ์,6/8/2015 16:24,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800133,SIM Medium,105470,for microbiology,500,500,กรัม,นางสาวนิตยา สมพงษ์,7/8/2015 11:14,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800134,SIMMONS citrate agar,102501,for the identification of microorganisms,500,500,กรัม,นางสาวนิตยา สมพงษ์,7/8/2015 11:14,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800135,SIMMONS citrate agar,102501,for the identification of microorganisms,500,500,กรัม,นางสาวนิตยา สมพงษ์,7/8/2015 11:14,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800137,SMAC agar base,109207,for direct isolation and differentiation of enterohemorrhagic (EHEC) E.coli O157:H7-strains,500,500,กรัม,นางสาวนิตยา สมพงษ์,7/8/2015 11:14,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800138,SPS agar,110235,Perfringens selective agar acc. to ANGELOTTI for microbiology,500,500,กรัม,นางสาวนิตยา สมพงษ์,7/8/2015 11:14,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800149,Tryptic Soy Agar,M290,Use with or without blood for the cultivation and isolation of a variety of organisms. Use for sterility testing.,500,500,กรัม,นางสาวนิตยา สมพงษ์,7/8/2015 11:14,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800154,Trypsin,7/7/9002,1:250 /For use in procedures requiring proteolytic Enzyma Activity,100,100,กรัม,นายนพดล พริ้งเพราะ,2/5/2016 14:26,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800159,XLD agar,105287,acc. ISO 6579 GranuCult™,500,500,กรัม,นางสาวนิตยา สมพงษ์,7/8/2015 11:22,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800167,Potassium permanganate,7722-64-7,AR Univar,500,500,กรัม,นางสาวนิตยา สมพงษ์,7/8/2015 15:55,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800168,Sulfanilic acid,121-57-3,"GR for analysis ACS,Reag. Ph Eur",250,250,กรัม,นางสาวนิตยา สมพงษ์,7/8/2015 15:55,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800169,Sulfanilic acid,121-57-3,"GR for analysis ACS,Reag. Ph Eur",250,250,กรัม,นางสาวนิตยา สมพงษ์,7/8/2015 15:55,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800170,Sodium hydrogen carbonate,144-55-8,"for analysis EMSURE® ACS,Reag.Ph Eur",500,500,กรัม,นางสาวนิตยา สมพงษ์,7/8/2015 15:55,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800171,Safranin T,477-73-6,RPE,25,25,กรัม,นางสาวนิตยา สมพงษ์,7/8/2015 15:55,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800172,Methyl red,493-52-7,"indicator ACS,Reag. Ph Eur",25,25,กรัม,นางสาวนิตยา สมพงษ์,7/8/2015 15:55,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800173,Malachite Green,569-64-2,microscopy,100,100,กรัม,นางสาวนิตยา สมพงษ์,7/8/2015 16:02,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800174,Creatine,57-00-1,anhydrous,100,100,กรัม,นางสาวนิตยา สมพงษ์,7/8/2015 16:02,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5900099,MKTTn broth,105878,Microbiology,500,500,กรัม,นางสาวนิตยา สมพงษ์,8/9/2016 11:20,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5900100,BAIRD-PARKER agar,105406,Microbiology,500,500,กรัม,นางสาวนิตยา สมพงษ์,8/9/2016 11:20,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5900101,Iodine sublimated,7753-56-2,for analysis,100,100,กรัม,นางสาวนิตยา สมพงษ์,8/9/2016 11:20,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000038,EDTA disodium salt dihydrate,6381-92-6,-,250,250,กรัม,นางสาวนิตยา สมพงษ์,20/12/2017 18:36,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000041,EDTA disodium salt dihydrate,6381-92-6,-,250,250,กรัม,นางสาวนิตยา สมพงษ์,20/12/2017 18:36,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000042,D(+)-Glucose monohydrate,14431-43-7,-,1,1,กิโลกรัม,นางสาวนิตยา สมพงษ์,20/12/2017 21:12,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000043,D-Mannitol,69-65-8,-,500,500,กรัม,นางสาวนิตยา สมพงษ์,20/12/2017 21:12,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000044,Gelatin,9000-70-8,-,500,500,กรัม,นางสาวนิตยา สมพงษ์,20/12/2017 21:12,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000045,OF Basal Medium,M395,-,500,500,กรัม,นางสาวนิตยา สมพงษ์,20/12/2017 21:12,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000046,Demi-Fraser Broth Base,BP0118500,-,500,500,กรัม,นางสาวนิตยา สมพงษ์,20/12/2017 21:37,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000050,Ninhydrin,485-47-2,-,100,100,กรัม,นางสาวนิตยา สมพงษ์,21/12/2017 15:05,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000052,Potassium dihydrogen  phosphate,7778-77-0,-,250,250,กรัม,นางสาวนิตยา สมพงษ์,21/12/2017 14:41,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000053,Hippuric acid sodium salt,532-94-5,-,100,100,กรัม,นางสาวนิตยา สมพงษ์,21/12/2017 14:41,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000054,Hippuric acid sodium salt,532-94-5,-,100,100,กรัม,นางสาวนิตยา สมพงษ์,21/12/2017 14:41,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000055,Hippuric acid sodium salt,532-94-5,-,100,100,กรัม,นางสาวนิตยา สมพงษ์,21/12/2017 14:41,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000056,Hippuric acid sodium salt,532-94-5,-,100,100,กรัม,นางสาวนิตยา สมพงษ์,21/12/2017 14:41,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000057,Hippuric acid sodium salt,532-94-5,-,100,100,กรัม,นางสาวนิตยา สมพงษ์,21/12/2017 14:41,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000058,Ninhydrin,485-47-2,-,100,100,กรัม,นางสาวนิตยา สมพงษ์,21/12/2017 15:05,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000059,1-Naphthol,90-15-3,-,50,50,กรัม,นางสาวนิตยา สมพงษ์,21/12/2017 15:05,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000060,1-Naphthol,90-15-3,-,50,50,กรัม,นางสาวนิตยา สมพงษ์,21/12/2017 15:05,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000061,Ninhydrin,485-47-2,analysis,5,5,กรัม,นางสาวนิตยา สมพงษ์,21/12/2017 15:28,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000062,Agar coarse powder,9002-18-0,-,500,500,กรัม,นางสาวนิตยา สมพงษ์,21/12/2017 15:28,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000063,N-(2-Acetamido)-2-aminoethanesulfonic acid,7365-82-4,-,100,100,กรัม,นางสาวนิตยา สมพงษ์,21/12/2017 15:56,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000064,di-Potassium hydrogen phosphate anhydrous,4/11/7758,analytical reagent,500,500,กรัม,นางสาวนิตยา สมพงษ์,21/12/2017 15:28,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000065,Disodium hydrogen phosphate,7558-79-4,analytical reagent,500,500,กรัม,นางสาวนิตยา สมพงษ์,21/12/2017 15:28,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000066,Mannitol salt agar,211407,Microbiology,500,500,กรัม,นางสาวนิตยา สมพงษ์,21/12/2017 15:31,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000067,Glycerine,56-81-5,analytical reagent,2.5,2.5,ลิตร,นางสาวนิตยา สมพงษ์,21/12/2017 15:38,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000068,Immersion oil,466782,for microscopy,100,100,มิลลิลิตร,นางสาวนิตยา สมพงษ์,21/12/2017 15:38,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000069,Immersion oil,466782,for microscopy,100,100,มิลลิลิตร,นางสาวนิตยา สมพงษ์,21/12/2017 15:38,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000070,Immersion oil,466782,for microscopy,100,100,มิลลิลิตร,นางสาวนิตยา สมพงษ์,21/12/2017 15:38,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000071,Immersion oil,466782,for microscopy,100,100,มิลลิลิตร,นางสาวนิตยา สมพงษ์,21/12/2017 15:38,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000072,N-(2-Acetamido)-2-aminoethanesulfonic acid,7365-82-4,-,100,100,กรัม,นางสาวนิตยา สมพงษ์,21/12/2017 15:56,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000073,N-(2-Acetamido)-2-aminoethanesulfonic acid,7365-82-4,-,100,100,กรัม,นางสาวนิตยา สมพงษ์,21/12/2017 15:56,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000074,Hippuric acid sodium salt,532-94-5,-,25,25,กรัม,นางสาวนิตยา สมพงษ์,21/12/2017 15:56,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000075,Bromocresol purple,115-40-2,-,5,5,กรัม,นางสาวนิตยา สมพงษ์,21/12/2017 15:56,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000076,Tridecanoic acid,638-53-9,-,1,1,กรัม,นางสาวนิตยา สมพงษ์,21/12/2017 15:56,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000079,Zinc,7440-66-6,-,250,250,กรัม,นางสาวนิตยา สมพงษ์,21/12/2017 16:13,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000080,Zinc,7440-66-6,-,250,250,กรัม,นางสาวนิตยา สมพงษ์,21/12/2017 16:13,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000081,MRS,110660,Microbiology,500,500,กรัม,นางสาวนิตยา สมพงษ์,21/12/2017 16:13,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A6000084,Cetrimide agar,105284,Microbiology,500,500,กรัม,นางสาวนิตยา สมพงษ์,21/12/2017 16:29,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
